rank,score,url,chunk_index,snippet,fts_rank
1,0.812878,https://vimeo.com/privacy,60,"… 3\"",\""1\"",{\""[children]\"":\"" We use your [data] when we communicate …",-12.548921
2,0.812878,https://vimeo.com/legal/privacy,60,"… 3\"",\""1\"",{\""[children]\"":\"" We use your [data] when we communicate …",-12.548921
3,0.807093,https://vimeo.com/privacy,103,"… gdpr-[data]-request\""},\""position\"":\""content\""}},\""[children]\"":[[[\""$\"",\""$3\"",\""JAOy2a3v00Ma\"",{\""[children]\"":[[\""$\"",\""$3 …",-12.727583
4,0.807093,https://vimeo.com/legal/privacy,103,"… gdpr-[data]-request\""},\""position\"":\""content\""}},\""[children]\"":[[[\""$\"",\""$3\"",\""JAOy2a3v00Ma\"",{\""[children]\"":[[\""$\"",\""$3 …",-12.727583
5,0.792964,https://vimeo.com/privacy/us-state-privacy,60,"… [children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""*considered Sensitive PI or Sensitive [Data] …",-12.376556
6,0.788917,https://docs.stripe.com,146,"Overview"",""href"":""\u002Fstripe-[data]\u002Favailable-[data]"",""description"":null,""[children]"":[],""hidden …",-12.562330
7,0.788084,https://docs.stripe.com,144,"stripe-[data]"",""description"":null,""[children]"":[],""hidden"":false,""active"":false,""expanded …",-12.529136
8,0.770227,https://vimeo.com/privacy,63,"… [children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""Whenever we process your [data] for …",-12.447659
9,0.770227,https://vimeo.com/legal/privacy,63,"… [children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""Whenever we process your [data] for …",-12.447659
10,0.758328,https://docs.stripe.com,141,"… [Data] reconciliation"",""href"":""\u002Frevenue-recognition\u002Fdata-reconciliation"",""description"":null,""[children] …",-11.956576
11,0.757760,https://edps.europa.eu/press-publications/press-news/blog/cradle-cloud-exploring-surveillance-and-digitalisation-minors_en,9,The conference tackled the most prominent aspects of [children] and …,-9.767006
12,0.757760,https://edps.europa.eu/press-publications/press-news/blog/cradle-cloud-exploring-surveillance-and-digitalisation-minors,9,The conference tackled the most prominent aspects of [children] and …,-9.767006
13,0.757230,https://vimeo.com/legal/privacy,51,"… [children]\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""[children]\"":\""\\\""your [data]\\\""\""}]}],[\""$\"",\""$3 …",-11.740278
14,0.757230,https://vimeo.com/privacy,51,"… [children]\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""[children]\"":\""\\\""your [data]\\\""\""}]}],[\""$\"",\""$3 …",-11.740278
15,0.746093,https://www.edps.europa.eu/data-protection/our-work/publications/events/2025-07-04-cradle-cloud-surveillance-and-digitalisation-around-childhood_en,1,… to ensure that [children]’s [data] remain protected while fostering …,-10.619919
16,0.745036,https://docs.stripe.com,389,"… the [data] associated with a Financial Connections Account."",""[children]"":[],""hidden …",-11.977730
17,0.743197,https://docs.stripe.com,53,"… u002Fbacs-debit\u002Fexport-[data]"",""description"":null,""[children]"":[],""hidden"":false,""active …",-12.209423
18,0.740709,https://docs.stripe.com,52,"… null},""[children]"":[{""type"":""link"",""text"":""Migrate customer [data]"",""href"":""\u002Fget …",-12.471434
19,0.736313,https://vimeo.com/legal/privacy,77,"… [children]\"":[[\""$\"",\""$3\"",\""14qK8u3BYLsy\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""7. [Data] Retention …",-12.187554
